 diam 7,25
Long 195,1 196,2

 84

  01      00:00.91      00:00.91
  02      00:03.68      00:02.77
  03      00:06.50      00:02.82
  04      00:09.34      00:02.84
  05      00:12.25      00:02.91
  06      00:15.15      00:02.90
  07      00:18.00      00:02.85
  08      00:20.91      00:02.91
  09      00:23.66      00:02.75
  10      00:26.57      00:02.91
  11      00:29.43      00:02.86
  12      00:32.31      00:02.88
  13      00:35.06      00:02.75
  14      00:37.96      00:02.90
  15      00:40.82      00:02.86
  16      00:43.70      00:02.88

69
  01      00:01.05      00:01.05
  02      00:03.95      00:02.90
  03      00:06.77      00:02.82
  04      00:09.69      00:02.92
  05      00:12.53      00:02.84
  06      00:15.33      00:02.80
  07      00:18.18      00:02.85
  08      00:21.07      00:02.89
  09      00:23.84      00:02.77
  10      00:26.73      00:02.89
  11      00:29.61      00:02.88
  12      00:32.50      00:02.89
  13      00:35.27      00:02.77
  14      00:38.14      00:02.87


56,5
  01      00:02.08      00:02.08
  02      00:04.91      00:02.83
  03      00:07.81      00:02.90
  04      00:10.60      00:02.79
  05      00:13.47      00:02.87
  06      00:16.35      00:02.88
  07      00:19.11      00:02.76
  08      00:22.01      00:02.90
  09      00:24.75      00:02.74
  10      00:27.68      00:02.93
  11      00:30.51      00:02.83
  12      00:33.38      00:02.87
  13      00:36.25      00:02.87


30
  01      00:05.23      00:05.23
  02      00:08.12      00:02.89
  03      00:11.03      00:02.91
  04      00:13.80      00:02.77
  05      00:16.65      00:02.85
  06      00:19.47      00:02.82
  07      00:22.26      00:02.79
  08      00:25.14      00:02.88
  09      00:27.92      00:02.78
  10      00:30.82      00:02.90
  11      00:33.62      00:02.80
  12      00:36.44      00:02.82
  13      00:39.21      00:02.77
  14      00:42.02      00:02.81

14
  01      00:02.61      00:02.61
  02      00:05.49      00:02.88
  03      00:08.39      00:02.90
  04      00:11.15      00:02.76
  05      00:14.05      00:02.90
  06      00:16.87      00:02.82
  07      00:19.58      00:02.71
  08      00:22.41      00:02.83
  09      00:25.17      00:02.76
  10      00:28.10      00:02.93
  11      00:31.06      00:02.96
  12      00:33.76      00:02.70
  13      00:36.58      00:02.82
  14      00:39.53      00:02.95
  15      00:42.24      00:02.71
  16      00:45.14      00:02.90
